countrynewwb,codewb,year,pop_adult,regionwb24_hi,incomegroupwb24,account_t_d,capital_api,region_api,subregion_api,flag_url,local_flag_path
Germany,DEU,2017,71374479.0,High income,High income,0.99,Berlin,Europe,Central Europe,https://flagcdn.com/w320/de.png,..\output\imagenes_procesadas\de.jpg
Ghana,GHA,2017,18083712.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.58,Accra,Africa,Western Africa,https://flagcdn.com/w320/gh.png,..\output\imagenes_procesadas\gh.jpg
Greece,GRC,2017,9220190.0,High income,High income,0.85,Athens,Europe,Southern Europe,https://flagcdn.com/w320/gr.png,..\output\imagenes_procesadas\gr.jpg
Guatemala,GTM,2017,10430246.0,Latin America & Caribbean (excluding high income),Upper middle income,0.44,Guatemala City,Americas,Central America,https://flagcdn.com/w320/gt.png,..\output\imagenes_procesadas\gt.jpg
Guinea,GIN,2017,6873506.0,Sub-Saharan Africa (excluding high income),Low income,0.23,Conakry,Africa,Western Africa,https://flagcdn.com/w320/gn.png,..\output\imagenes_procesadas\gn.jpg
Haiti,HTI,2017,7048972.0,Latin America & Caribbean (excluding high income),Lower middle income,0.33,Port-au-Prince,Americas,Caribbean,https://flagcdn.com/w320/ht.png,..\output\imagenes_procesadas\ht.jpg
Honduras,HND,2017,6185475.0,Latin America & Caribbean (excluding high income),Lower middle income,0.45,Tegucigalpa,Americas,Central America,https://flagcdn.com/w320/hn.png,..\output\imagenes_procesadas\hn.jpg
Hungary,HUN,2017,8389859.0,High income,High income,0.75,Budapest,Europe,Central Europe,https://flagcdn.com/w320/hu.png,..\output\imagenes_procesadas\hu.jpg
India,IND,2017,962463650.0,South Asia (excluding high income),Lower middle income,0.8,New Delhi,Asia,Southern Asia,https://flagcdn.com/w320/in.png,..\output\imagenes_procesadas\in.jpg
Indonesia,IDN,2017,193777030.0,East Asia & Pacific (excluding high income),Lower middle income,0.49,Jakarta,Asia,South-Eastern Asia,https://flagcdn.com/w320/id.png,..\output\imagenes_procesadas\id.jpg
Iraq,IRQ,2017,23052127.0,Middle East & North Africa (excluding high income),Upper middle income,0.23,Baghdad,Asia,Western Asia,https://flagcdn.com/w320/iq.png,..\output\imagenes_procesadas\iq.jpg
Ireland,IRL,2017,3749429.0,High income,High income,0.95,Dublin,Europe,Northern Europe,https://flagcdn.com/w320/ie.png,..\output\imagenes_procesadas\ie.jpg
Israel,ISR,2017,6131598.0,High income,High income,0.93,Jerusalem,Asia,Western Asia,https://flagcdn.com/w320/il.png,..\output\imagenes_procesadas\il.jpg
Italy,ITA,2017,52409524.0,High income,High income,0.94,Rome,Europe,Southern Europe,https://flagcdn.com/w320/it.png,..\output\imagenes_procesadas\it.jpg
Japan,JPN,2017,110907804.0,High income,High income,0.98,Tokyo,Asia,Eastern Asia,https://flagcdn.com/w320/jp.png,..\output\imagenes_procesadas\jp.jpg
Jordan,JOR,2017,6558247.0,Middle East & North Africa (excluding high income),Upper middle income,0.42,Amman,Asia,Western Asia,https://flagcdn.com/w320/jo.png,..\output\imagenes_procesadas\jo.jpg
Kazakhstan,KAZ,2017,13196334.0,Europe & Central Asia (excluding high income),Upper middle income,0.59,Astana,Asia,Central Asia,https://flagcdn.com/w320/kz.png,..\output\imagenes_procesadas\kz.jpg
Kenya,KEN,2017,28150345.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.82,Nairobi,Africa,Eastern Africa,https://flagcdn.com/w320/ke.png,..\output\imagenes_procesadas\ke.jpg
Kosovo,XKX,2017,1328163.0,Europe & Central Asia (excluding high income),Upper middle income,0.52,Pristina,Europe,Eastern Europe,https://flagcdn.com/w320/xk.png,..\output\imagenes_procesadas\xk.jpg
Kuwait,KWT,2017,3138850.0,High income,High income,0.8,Kuwait City,Asia,Western Asia,https://flagcdn.com/w320/kw.png,..\output\imagenes_procesadas\kw.jpg
Latvia,LVA,2017,1657658.0,High income,High income,0.93,Riga,Europe,Northern Europe,https://flagcdn.com/w320/lv.png,..\output\imagenes_procesadas\lv.jpg
Lebanon,LBN,2017,4654352.0,Middle East & North Africa (excluding high income),Lower middle income,0.45,Beirut,Asia,Western Asia,https://flagcdn.com/w320/lb.png,..\output\imagenes_procesadas\lb.jpg
Lesotho,LSO,2017,1350411.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.46,Maseru,Africa,Southern Africa,https://flagcdn.com/w320/ls.png,..\output\imagenes_procesadas\ls.jpg
Liberia,LBR,2017,2745577.0,Sub-Saharan Africa (excluding high income),Low income,0.36,Monrovia,Africa,Western Africa,https://flagcdn.com/w320/lr.png,..\output\imagenes_procesadas\lr.jpg
Libya,LBY,2017,4585159.0,Middle East & North Africa (excluding high income),Upper middle income,0.66,Tripoli,Africa,Northern Africa,https://flagcdn.com/w320/ly.png,..\output\imagenes_procesadas\ly.jpg
Lithuania,LTU,2017,2445393.0,High income,High income,0.83,Vilnius,Europe,Northern Europe,https://flagcdn.com/w320/lt.png,..\output\imagenes_procesadas\lt.jpg
Luxembourg,LUX,2017,486845.0,High income,High income,0.99,Luxembourg,Europe,Western Europe,https://flagcdn.com/w320/lu.png,..\output\imagenes_procesadas\lu.jpg
Madagascar,MDG,2017,15245537.0,Sub-Saharan Africa (excluding high income),Low income,0.18,Antananarivo,Africa,Eastern Africa,https://flagcdn.com/w320/mg.png,..\output\imagenes_procesadas\mg.jpg
Malawi,MWI,2017,9645161.0,Sub-Saharan Africa (excluding high income),Low income,0.34,Lilongwe,Africa,Eastern Africa,https://flagcdn.com/w320/mw.png,..\output\imagenes_procesadas\mw.jpg
Malaysia,MYS,2017,23682698.0,East Asia & Pacific (excluding high income),Upper middle income,0.85,Kuala Lumpur,Asia,South-Eastern Asia,https://flagcdn.com/w320/my.png,..\output\imagenes_procesadas\my.jpg
Maldives,MDV,2017,342024.0,South Asia (excluding high income),Upper middle income,0.8,Malé,Asia,Southern Asia,https://flagcdn.com/w320/mv.png,..\output\imagenes_procesadas\mv.jpg
Mali,MLI,2017,9985747.0,Sub-Saharan Africa (excluding high income),Low income,0.35,Bamako,Africa,Western Africa,https://flagcdn.com/w320/ml.png,..\output\imagenes_procesadas\ml.jpg
Malta,MLT,2017,390899.0,High income,High income,0.97,Valletta,Europe,Southern Europe,https://flagcdn.com/w320/mt.png,..\output\imagenes_procesadas\mt.jpg
Mauritania,MRT,2017,2278505.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.21,Nouakchott,Africa,Western Africa,https://flagcdn.com/w320/mr.png,..\output\imagenes_procesadas\mr.jpg
Mauritius,MUS,2017,1031251.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.9,Port Louis,Africa,Eastern Africa,https://flagcdn.com/w320/mu.png,..\output\imagenes_procesadas\mu.jpg
Mexico,MEX,2017,88534114.0,Latin America & Caribbean (excluding high income),Upper middle income,0.36,Mexico City,Americas,North America,https://flagcdn.com/w320/mx.png,..\output\imagenes_procesadas\mx.jpg
Moldova,MDA,2017,2278507.0,Europe & Central Asia (excluding high income),Upper middle income,0.44,Chișinău,Europe,Eastern Europe,https://flagcdn.com/w320/md.png,..\output\imagenes_procesadas\md.jpg
Mongolia,MNG,2017,2155814.0,East Asia & Pacific (excluding high income),Lower middle income,0.93,Ulan Bator,Asia,Eastern Asia,https://flagcdn.com/w320/mn.png,..\output\imagenes_procesadas\mn.jpg
Montenegro,MNE,2017,506847.0,Europe & Central Asia (excluding high income),Upper middle income,0.68,Podgorica,Europe,Southern Europe,https://flagcdn.com/w320/me.png,..\output\imagenes_procesadas\me.jpg
Morocco,MAR,2017,24894226.0,Middle East & North Africa (excluding high income),Lower middle income,0.29,Rabat,Africa,Northern Africa,https://flagcdn.com/w320/ma.png,..\output\imagenes_procesadas\ma.jpg
Mozambique,MOZ,2017,14874137.0,Sub-Saharan Africa (excluding high income),Low income,0.42,Maputo,Africa,Eastern Africa,https://flagcdn.com/w320/mz.png,..\output\imagenes_procesadas\mz.jpg
Myanmar,MMR,2017,38000865.0,East Asia & Pacific (excluding high income),Lower middle income,0.26,Naypyidaw,Asia,South-Eastern Asia,https://flagcdn.com/w320/mm.png,..\output\imagenes_procesadas\mm.jpg
Namibia,NAM,2017,1547830.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.81,Windhoek,Africa,Southern Africa,https://flagcdn.com/w320/na.png,..\output\imagenes_procesadas\na.jpg
Nepal,NPL,2017,18869412.0,South Asia (excluding high income),Lower middle income,0.45,Kathmandu,Asia,Southern Asia,https://flagcdn.com/w320/np.png,..\output\imagenes_procesadas\np.jpg
Netherlands,NLD,2017,14234525.0,High income,High income,1.0,Amsterdam,Europe,Western Europe,https://flagcdn.com/w320/nl.png,..\output\imagenes_procesadas\nl.jpg
New Zealand,NZL,2017,3788624.0,High income,High income,0.99,Wellington,Oceania,Australia and New Zealand,https://flagcdn.com/w320/nz.png,..\output\imagenes_procesadas\nz.jpg
Nicaragua,NIC,2017,4249427.0,Latin America & Caribbean (excluding high income),Lower middle income,0.31,Managua,Americas,Central America,https://flagcdn.com/w320/ni.png,..\output\imagenes_procesadas\ni.jpg
Niger,NER,2017,10546918.0,Sub-Saharan Africa (excluding high income),Low income,0.16,Niamey,Africa,Western Africa,https://flagcdn.com/w320/ne.png,..\output\imagenes_procesadas\ne.jpg
Nigeria,NGA,2017,109170774.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.4,Abuja,Africa,Western Africa,https://flagcdn.com/w320/ng.png,..\output\imagenes_procesadas\ng.jpg
North Macedonia,MKD,2017,1567300.0,Europe & Central Asia (excluding high income),Upper middle income,0.77,Skopje,Europe,Southern Europe,https://flagcdn.com/w320/mk.png,..\output\imagenes_procesadas\mk.jpg
Norway,NOR,2017,4298959.0,High income,High income,1.0,Oslo,Europe,Northern Europe,https://flagcdn.com/w320/no.png,..\output\imagenes_procesadas\no.jpg
Pakistan,PAK,2017,135055510.0,South Asia (excluding high income),Lower middle income,0.21,Islamabad,Asia,Southern Asia,https://flagcdn.com/w320/pk.png,..\output\imagenes_procesadas\pk.jpg
Panama,PAN,2017,2915245.0,High income,High income,0.46,Panama City,Americas,Central America,https://flagcdn.com/w320/pa.png,..\output\imagenes_procesadas\pa.jpg
Paraguay,PRY,2017,4382299.0,Latin America & Caribbean (excluding high income),Upper middle income,0.49,Asunción,Americas,South America,https://flagcdn.com/w320/py.png,..\output\imagenes_procesadas\py.jpg
Peru,PER,2017,22473210.0,Latin America & Caribbean (excluding high income),Upper middle income,0.43,Lima,Americas,South America,https://flagcdn.com/w320/pe.png,..\output\imagenes_procesadas\pe.jpg
Philippines,PHL,2017,71585383.0,East Asia & Pacific (excluding high income),Lower middle income,0.34,Manila,Asia,South-Eastern Asia,https://flagcdn.com/w320/ph.png,..\output\imagenes_procesadas\ph.jpg
Poland,POL,2017,32223349.0,High income,High income,0.87,Warsaw,Europe,Central Europe,https://flagcdn.com/w320/pl.png,..\output\imagenes_procesadas\pl.jpg
Portugal,PRT,2017,8871342.0,High income,High income,0.92,Lisbon,Europe,Southern Europe,https://flagcdn.com/w320/pt.png,..\output\imagenes_procesadas\pt.jpg
Romania,ROU,2017,16606939.0,High income,High income,0.58,Bucharest,Europe,Eastern Europe,https://flagcdn.com/w320/ro.png,..\output\imagenes_procesadas\ro.jpg
Russian Federation,RUS,2017,120066877.0,Europe & Central Asia (excluding high income),Upper middle income,0.76,Moscow,Europe,Eastern Europe,https://flagcdn.com/w320/ru.png,..\output\imagenes_procesadas\ru.jpg
Rwanda,RWA,2017,7050113.0,Sub-Saharan Africa (excluding high income),Low income,0.5,Kigali,Africa,Eastern Africa,https://flagcdn.com/w320/rw.png,..\output\imagenes_procesadas\rw.jpg
Saudi Arabia,SAU,2017,23241801.0,High income,High income,0.72,Riyadh,Asia,Western Asia,https://flagcdn.com/w320/sa.png,..\output\imagenes_procesadas\sa.jpg
Senegal,SEN,2017,8705549.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.42,Dakar,Africa,Western Africa,https://flagcdn.com/w320/sn.png,..\output\imagenes_procesadas\sn.jpg
Serbia,SRB,2017,6046629.0,Europe & Central Asia (excluding high income),Upper middle income,0.71,Belgrade,Europe,Southern Europe,https://flagcdn.com/w320/rs.png,..\output\imagenes_procesadas\rs.jpg
Sierra Leone,SLE,2017,4219730.0,Sub-Saharan Africa (excluding high income),Low income,0.2,Freetown,Africa,Western Africa,https://flagcdn.com/w320/sl.png,..\output\imagenes_procesadas\sl.jpg
Singapore,SGP,2017,4905185.0,High income,High income,0.98,Singapore,Asia,South-Eastern Asia,https://flagcdn.com/w320/sg.png,..\output\imagenes_procesadas\sg.jpg
Slovenia,SVN,2017,1756994.0,High income,High income,0.98,Ljubljana,Europe,Southern Europe,https://flagcdn.com/w320/si.png,..\output\imagenes_procesadas\si.jpg
South Africa,ZAF,2017,41039555.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.69,Pretoria,Africa,Southern Africa,https://flagcdn.com/w320/za.png,..\output\imagenes_procesadas\za.jpg
South Sudan,SSD,2017,6092487.0,Sub-Saharan Africa (excluding high income),Low income,0.09,Juba,Africa,Middle Africa,https://flagcdn.com/w320/ss.png,..\output\imagenes_procesadas\ss.jpg
Spain,ESP,2017,39549433.0,High income,High income,0.94,Madrid,Europe,Southern Europe,https://flagcdn.com/w320/es.png,..\output\imagenes_procesadas\es.jpg
Sri Lanka,LKA,2017,16017388.0,South Asia (excluding high income),Lower middle income,0.74,Sri Jayawardenepura Kotte,Asia,Southern Asia,https://flagcdn.com/w320/lk.png,..\output\imagenes_procesadas\lk.jpg
Sweden,SWE,2017,8184039.0,High income,High income,1.0,Stockholm,Europe,Northern Europe,https://flagcdn.com/w320/se.png,..\output\imagenes_procesadas\se.jpg
Switzerland,CHE,2017,7127704.0,High income,High income,0.98,Bern,Europe,Central Europe,https://flagcdn.com/w320/ch.png,..\output\imagenes_procesadas\ch.jpg
Tajikistan,TJK,2017,5649763.0,Europe & Central Asia (excluding high income),Lower middle income,0.47,Dushanbe,Asia,Central Asia,https://flagcdn.com/w320/tj.png,..\output\imagenes_procesadas\tj.jpg
Tanzania,TZA,2017,30023264.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.47,Dodoma,Africa,Eastern Africa,https://flagcdn.com/w320/tz.png,..\output\imagenes_procesadas\tz.jpg
Thailand,THA,2017,58293189.0,East Asia & Pacific (excluding high income),Upper middle income,0.82,Bangkok,Asia,South-Eastern Asia,https://flagcdn.com/w320/th.png,..\output\imagenes_procesadas\th.jpg
Togo,TGO,2017,4608431.0,Sub-Saharan Africa (excluding high income),Low income,0.45,Lomé,Africa,Western Africa,https://flagcdn.com/w320/tg.png,..\output\imagenes_procesadas\tg.jpg
Trinidad and Tobago,TTO,2017,1090252.0,High income,High income,0.81,Port of Spain,Americas,Caribbean,https://flagcdn.com/w320/tt.png,..\output\imagenes_procesadas\tt.jpg
Tunisia,TUN,2017,8662597.0,Middle East & North Africa (excluding high income),Lower middle income,0.37,Tunis,Africa,Northern Africa,https://flagcdn.com/w320/tn.png,..\output\imagenes_procesadas\tn.jpg
Turkmenistan,TKM,2017,4458186.0,Europe & Central Asia (excluding high income),Upper middle income,0.41,Ashgabat,Asia,Central Asia,https://flagcdn.com/w320/tm.png,..\output\imagenes_procesadas\tm.jpg
Uganda,UGA,2017,20360656.0,Sub-Saharan Africa (excluding high income),Low income,0.59,Kampala,Africa,Eastern Africa,https://flagcdn.com/w320/ug.png,..\output\imagenes_procesadas\ug.jpg
Ukraine,UKR,2017,38655749.0,Europe & Central Asia (excluding high income),Lower middle income,0.63,Kyiv,Europe,Eastern Europe,https://flagcdn.com/w320/ua.png,..\output\imagenes_procesadas\ua.jpg
United Arab Emirates,ARE,2017,7433015.0,High income,High income,0.88,Abu Dhabi,Asia,Western Asia,https://flagcdn.com/w320/ae.png,..\output\imagenes_procesadas\ae.jpg
United Kingdom,GBR,2017,53834160.0,High income,High income,0.96,London,Europe,Northern Europe,https://flagcdn.com/w320/gb.png,..\output\imagenes_procesadas\gb.jpg
United States,USA,2017,261470917.0,High income,High income,0.93,,Americas,Northern America,https://flagcdn.com/w320/um.png,..\output\imagenes_procesadas\um.jpg
Uruguay,URY,2017,2670291.0,High income,High income,0.64,Montevideo,Americas,South America,https://flagcdn.com/w320/uy.png,..\output\imagenes_procesadas\uy.jpg
Uzbekistan,UZB,2017,22359293.0,Europe & Central Asia (excluding high income),Lower middle income,0.37,Tashkent,Asia,Central Asia,https://flagcdn.com/w320/uz.png,..\output\imagenes_procesadas\uz.jpg
Zambia,ZMB,2017,9326870.0,Sub-Saharan Africa (excluding high income),Low income,0.46,Lusaka,Africa,Eastern Africa,https://flagcdn.com/w320/zm.png,..\output\imagenes_procesadas\zm.jpg
Zimbabwe,ZWE,2017,8235262.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.55,Harare,Africa,Southern Africa,https://flagcdn.com/w320/zw.png,..\output\imagenes_procesadas\zw.jpg
Afghanistan,AFG,2021,21791072.0,South Asia (excluding high income),Low income,0.1,Kabul,Asia,Southern Asia,https://flagcdn.com/w320/af.png,..\output\imagenes_procesadas\af.jpg
Albania,ALB,2021,2340601.0,Europe & Central Asia (excluding high income),Upper middle income,0.44,Tirana,Europe,Southern Europe,https://flagcdn.com/w320/al.png,..\output\imagenes_procesadas\al.jpg
Algeria,DZA,2021,30458426.0,Middle East & North Africa (excluding high income),Lower middle income,0.44,Algiers,Africa,Northern Africa,https://flagcdn.com/w320/dz.png,..\output\imagenes_procesadas\dz.jpg
Argentina,ARG,2021,34481880.0,Latin America & Caribbean (excluding high income),Upper middle income,0.72,Buenos Aires,Americas,South America,https://flagcdn.com/w320/ar.png,..\output\imagenes_procesadas\ar.jpg
Armenia,ARM,2021,2364189.0,Europe & Central Asia (excluding high income),Upper middle income,0.55,Yerevan,Asia,Western Asia,https://flagcdn.com/w320/am.png,..\output\imagenes_procesadas\am.jpg
Australia,AUS,2021,20888823.0,High income,High income,0.99,Canberra,Oceania,Australia and New Zealand,https://flagcdn.com/w320/au.png,..\output\imagenes_procesadas\au.jpg
Austria,AUT,2021,7633446.0,High income,High income,1.0,Vienna,Europe,Central Europe,https://flagcdn.com/w320/at.png,..\output\imagenes_procesadas\at.jpg
Azerbaijan,AZE,2022,7732344.0,Europe & Central Asia (excluding high income),Upper middle income,0.46,Baku,Asia,Western Asia,https://flagcdn.com/w320/az.png,..\output\imagenes_procesadas\az.jpg
Bangladesh,BGD,2021,117641793.0,South Asia (excluding high income),Lower middle income,0.53,Dhaka,Asia,Southern Asia,https://flagcdn.com/w320/bd.png,..\output\imagenes_procesadas\bd.jpg
Belgium,BEL,2021,9600074.0,High income,High income,0.99,Brussels,Europe,Western Europe,https://flagcdn.com/w320/be.png,..\output\imagenes_procesadas\be.jpg
Benin,BEN,2021,7495327.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.49,Porto-Novo,Africa,Western Africa,https://flagcdn.com/w320/bj.png,..\output\imagenes_procesadas\bj.jpg
Bolivia,BOL,2021,8150856.0,Latin America & Caribbean (excluding high income),Lower middle income,0.69,Sucre,Americas,South America,https://flagcdn.com/w320/bo.png,..\output\imagenes_procesadas\bo.jpg
Bosnia and Herzegovina,BIH,2021,2851847.0,Europe & Central Asia (excluding high income),Upper middle income,0.79,Sarajevo,Europe,Southern Europe,https://flagcdn.com/w320/ba.png,..\output\imagenes_procesadas\ba.jpg
Botswana,BWA,2022,1588124.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.59,Gaborone,Africa,Southern Africa,https://flagcdn.com/w320/bw.png,..\output\imagenes_procesadas\bw.jpg
Brazil,BRA,2021,165349748.0,Latin America & Caribbean (excluding high income),Upper middle income,0.84,Brasília,Americas,South America,https://flagcdn.com/w320/br.png,..\output\imagenes_procesadas\br.jpg
Bulgaria,BGR,2021,5933315.0,Europe & Central Asia (excluding high income),Upper middle income,0.84,Sofia,Europe,Eastern Europe,https://flagcdn.com/w320/bg.png,..\output\imagenes_procesadas\bg.jpg
Burkina Faso,BFA,2021,12018028.0,Sub-Saharan Africa (excluding high income),Low income,0.36,Ouagadougou,Africa,Western Africa,https://flagcdn.com/w320/bf.png,..\output\imagenes_procesadas\bf.jpg
Cambodia,KHM,2021,11527565.0,East Asia & Pacific (excluding high income),Lower middle income,0.33,Phnom Penh,Asia,South-Eastern Asia,https://flagcdn.com/w320/kh.png,..\output\imagenes_procesadas\kh.jpg
Cameroon,CMR,2021,15059599.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.52,Yaoundé,Africa,Middle Africa,https://flagcdn.com/w320/cm.png,..\output\imagenes_procesadas\cm.jpg
Canada,CAN,2021,31991096.0,High income,High income,1.0,Ottawa,Americas,Northern America,https://flagcdn.com/w320/ca.png,..\output\imagenes_procesadas\ca.jpg
Chad,TCD,2022,8962706.0,Sub-Saharan Africa (excluding high income),Low income,0.24,N'Djamena,Africa,Middle Africa,https://flagcdn.com/w320/td.png,..\output\imagenes_procesadas\td.jpg
Chile,CHL,2021,15803947.0,High income,High income,0.87,Santiago,Americas,South America,https://flagcdn.com/w320/cl.png,..\output\imagenes_procesadas\cl.jpg
China,CHN,2021,1157739289.0,East Asia & Pacific (excluding high income),Upper middle income,0.89,Beijing,Asia,Eastern Asia,https://flagcdn.com/w320/cn.png,..\output\imagenes_procesadas\cn.jpg
Colombia,COL,2021,39661157.0,Latin America & Caribbean (excluding high income),Upper middle income,0.6,Bogotá,Americas,South America,https://flagcdn.com/w320/co.png,..\output\imagenes_procesadas\co.jpg
Comoros,COM,2022,495193.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.34,Moroni,Africa,Eastern Africa,https://flagcdn.com/w320/km.png,..\output\imagenes_procesadas\km.jpg
Costa Rica,CRI,2021,3990389.0,Latin America & Caribbean (excluding high income),Upper middle income,0.68,San José,Americas,Central America,https://flagcdn.com/w320/cr.png,..\output\imagenes_procesadas\cr.jpg
Croatia,HRV,2021,3348534.0,High income,High income,0.92,Zagreb,Europe,Southern Europe,https://flagcdn.com/w320/hr.png,..\output\imagenes_procesadas\hr.jpg
Cyprus,CYP,2021,1094549.0,High income,High income,0.93,Nicosia,Europe,Southern Europe,https://flagcdn.com/w320/cy.png,..\output\imagenes_procesadas\cy.jpg
Denmark,DNK,2021,4880509.0,High income,High income,1.0,Copenhagen,Europe,Northern Europe,https://flagcdn.com/w320/dk.png,..\output\imagenes_procesadas\dk.jpg
Dominican Republic,DOM,2021,7960918.0,Latin America & Caribbean (excluding high income),Upper middle income,0.51,Santo Domingo,Americas,Caribbean,https://flagcdn.com/w320/do.png,..\output\imagenes_procesadas\do.jpg
Ecuador,ECU,2021,12914981.0,Latin America & Caribbean (excluding high income),Upper middle income,0.64,Quito,Americas,South America,https://flagcdn.com/w320/ec.png,..\output\imagenes_procesadas\ec.jpg
El Salvador,SLV,2021,4592875.0,Latin America & Caribbean (excluding high income),Lower middle income,0.36,San Salvador,Americas,Central America,https://flagcdn.com/w320/sv.png,..\output\imagenes_procesadas\sv.jpg
Estonia,EST,2021,1110971.0,High income,High income,0.99,Tallinn,Europe,Northern Europe,https://flagcdn.com/w320/ee.png,..\output\imagenes_procesadas\ee.jpg
Ethiopia,ETH,2022,70814574.0,Sub-Saharan Africa (excluding high income),Low income,0.46,Addis Ababa,Africa,Eastern Africa,https://flagcdn.com/w320/et.png,..\output\imagenes_procesadas\et.jpg
Finland,FIN,2021,4663598.0,High income,High income,1.0,Helsinki,Europe,Northern Europe,https://flagcdn.com/w320/fi.png,..\output\imagenes_procesadas\fi.jpg
France,FRA,2021,55812045.0,High income,High income,0.99,Paris,Europe,Western Europe,https://flagcdn.com/w320/fr.png,..\output\imagenes_procesadas\fr.jpg
Gabon,GAB,2021,1467427.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.66,Libreville,Africa,Middle Africa,https://flagcdn.com/w320/ga.png,..\output\imagenes_procesadas\ga.jpg
Georgia,GEO,2021,2940933.0,Europe & Central Asia (excluding high income),Upper middle income,0.7,Tbilisi,Asia,Western Asia,https://flagcdn.com/w320/ge.png,..\output\imagenes_procesadas\ge.jpg
Germany,DEU,2021,71716499.0,High income,High income,1.0,Berlin,Europe,Central Europe,https://flagcdn.com/w320/de.png,..\output\imagenes_procesadas\de.jpg
Ghana,GHA,2021,20017745.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.68,Accra,Africa,Western Africa,https://flagcdn.com/w320/gh.png,..\output\imagenes_procesadas\gh.jpg
Greece,GRC,2021,9182577.0,High income,High income,0.95,Athens,Europe,Southern Europe,https://flagcdn.com/w320/gr.png,..\output\imagenes_procesadas\gr.jpg
Guatemala,GTM,2022,11489738.0,Latin America & Caribbean (excluding high income),Upper middle income,0.37,Guatemala City,Americas,Central America,https://flagcdn.com/w320/gt.png,..\output\imagenes_procesadas\gt.jpg
Guinea,GIN,2021,7735937.0,Sub-Saharan Africa (excluding high income),Low income,0.3,Conakry,Africa,Western Africa,https://flagcdn.com/w320/gn.png,..\output\imagenes_procesadas\gn.jpg
Honduras,HND,2021,6863097.0,Latin America & Caribbean (excluding high income),Lower middle income,0.38,Tegucigalpa,Americas,Central America,https://flagcdn.com/w320/hn.png,..\output\imagenes_procesadas\hn.jpg
Hungary,HUN,2021,8330756.0,High income,High income,0.88,Budapest,Europe,Central Europe,https://flagcdn.com/w320/hu.png,..\output\imagenes_procesadas\hu.jpg
Iceland,ISL,2021,297833.0,High income,High income,1.0,Reykjavík,Europe,Northern Europe,https://flagcdn.com/w320/is.png,..\output\imagenes_procesadas\is.jpg
India,IND,2021,1033092817.0,South Asia (excluding high income),Lower middle income,0.78,New Delhi,Asia,Southern Asia,https://flagcdn.com/w320/in.png,..\output\imagenes_procesadas\in.jpg
Indonesia,IDN,2021,203818030.0,East Asia & Pacific (excluding high income),Lower middle income,0.52,Jakarta,Asia,South-Eastern Asia,https://flagcdn.com/w320/id.png,..\output\imagenes_procesadas\id.jpg
Iraq,IRQ,2021,25903954.0,Middle East & North Africa (excluding high income),Upper middle income,0.19,Baghdad,Asia,Western Asia,https://flagcdn.com/w320/iq.png,..\output\imagenes_procesadas\iq.jpg
Ireland,IRL,2021,3983258.0,High income,High income,1.0,Dublin,Europe,Northern Europe,https://flagcdn.com/w320/ie.png,..\output\imagenes_procesadas\ie.jpg
Israel,ISR,2021,6631697.0,High income,High income,0.93,Jerusalem,Asia,Western Asia,https://flagcdn.com/w320/il.png,..\output\imagenes_procesadas\il.jpg
Italy,ITA,2021,51815239.0,High income,High income,0.97,Rome,Europe,Southern Europe,https://flagcdn.com/w320/it.png,..\output\imagenes_procesadas\it.jpg
Jamaica,JAM,2021,2248537.0,Latin America & Caribbean (excluding high income),Upper middle income,0.73,Kingston,Americas,Caribbean,https://flagcdn.com/w320/jm.png,..\output\imagenes_procesadas\jm.jpg
Japan,JPN,2021,110830955.0,High income,High income,0.98,Tokyo,Asia,Eastern Asia,https://flagcdn.com/w320/jp.png,..\output\imagenes_procesadas\jp.jpg
Jordan,JOR,2021,7296924.0,Middle East & North Africa (excluding high income),Upper middle income,0.47,Amman,Asia,Western Asia,https://flagcdn.com/w320/jo.png,..\output\imagenes_procesadas\jo.jpg
Kazakhstan,KAZ,2021,13791287.0,Europe & Central Asia (excluding high income),Upper middle income,0.81,Astana,Asia,Central Asia,https://flagcdn.com/w320/kz.png,..\output\imagenes_procesadas\kz.jpg
Kenya,KEN,2021,31704189.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.79,Nairobi,Africa,Eastern Africa,https://flagcdn.com/w320/ke.png,..\output\imagenes_procesadas\ke.jpg
Kosovo,XKX,2021,1385580.0,Europe & Central Asia (excluding high income),Upper middle income,0.58,Pristina,Europe,Eastern Europe,https://flagcdn.com/w320/xk.png,..\output\imagenes_procesadas\xk.jpg
